,scaffold length (bp),NG (X),Species
0,31052931,1,Dyak.GCF_016746365
1,31052931,2,Dyak.GCF_016746365
2,31052931,3,Dyak.GCF_016746365
3,31052931,4,Dyak.GCF_016746365
4,31052931,5,Dyak.GCF_016746365
5,31052931,6,Dyak.GCF_016746365
6,31052931,7,Dyak.GCF_016746365
7,31052931,8,Dyak.GCF_016746365
8,31052931,9,Dyak.GCF_016746365
9,31052931,10,Dyak.GCF_016746365
10,31052931,11,Dyak.GCF_016746365
11,31052931,12,Dyak.GCF_016746365
12,31052931,13,Dyak.GCF_016746365
13,31052931,14,Dyak.GCF_016746365
14,31052931,15,Dyak.GCF_016746365
15,31052931,16,Dyak.GCF_016746365
16,31052931,17,Dyak.GCF_016746365
17,31052931,18,Dyak.GCF_016746365
18,31052931,19,Dyak.GCF_016746365
19,31052931,20,Dyak.GCF_016746365
20,30730773,21,Dyak.GCF_016746365
21,30730773,22,Dyak.GCF_016746365
22,30730773,23,Dyak.GCF_016746365
23,30730773,24,Dyak.GCF_016746365
24,30730773,25,Dyak.GCF_016746365
25,30730773,26,Dyak.GCF_016746365
26,30730773,27,Dyak.GCF_016746365
27,30730773,28,Dyak.GCF_016746365
28,30730773,29,Dyak.GCF_016746365
29,30730773,30,Dyak.GCF_016746365
30,30730773,31,Dyak.GCF_016746365
31,30730773,32,Dyak.GCF_016746365
32,30730773,33,Dyak.GCF_016746365
33,30730773,34,Dyak.GCF_016746365
34,30730773,35,Dyak.GCF_016746365
35,30730773,36,Dyak.GCF_016746365
36,30730773,37,Dyak.GCF_016746365
37,30730773,38,Dyak.GCF_016746365
38,30730773,39,Dyak.GCF_016746365
39,30730773,40,Dyak.GCF_016746365
40,30730773,41,Dyak.GCF_016746365
41,25180761,42,Dyak.GCF_016746365
42,25180761,43,Dyak.GCF_016746365
43,25180761,44,Dyak.GCF_016746365
44,25180761,45,Dyak.GCF_016746365
45,25180761,46,Dyak.GCF_016746365
46,25180761,47,Dyak.GCF_016746365
47,25180761,48,Dyak.GCF_016746365
48,25180761,49,Dyak.GCF_016746365
49,25180761,50,Dyak.GCF_016746365
50,25180761,51,Dyak.GCF_016746365
51,25180761,52,Dyak.GCF_016746365
52,25180761,53,Dyak.GCF_016746365
53,25180761,54,Dyak.GCF_016746365
